city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,0
sj,2008,20,9
sj,2008,21,12
sj,2008,22,19
sj,2008,23,6
sj,2008,24,18
sj,2008,25,12
sj,2008,26,15
sj,2008,27,13
sj,2008,28,12
sj,2008,29,0
sj,2008,30,8
sj,2008,31,20
sj,2008,32,57
sj,2008,33,53
sj,2008,34,25
sj,2008,35,113
sj,2008,36,149
sj,2008,37,47
sj,2008,38,92
sj,2008,39,88
sj,2008,40,105
sj,2008,41,50
sj,2008,42,27
sj,2008,43,49
sj,2008,44,45
sj,2008,45,34
sj,2008,46,22
sj,2008,47,45
sj,2008,48,20
sj,2008,49,20
sj,2008,50,11
sj,2008,51,11
sj,2008,52,17
sj,2009,1,22
sj,2009,2,29
sj,2009,3,12
sj,2009,4,12
sj,2009,5,24
sj,2009,6,22
sj,2009,7,24
sj,2009,8,34
sj,2009,9,18
sj,2009,10,12
sj,2009,11,10
sj,2009,12,8
sj,2009,13,0
sj,2009,14,9
sj,2009,15,7
sj,2009,16,13
sj,2009,17,8
sj,2009,18,3
sj,2009,19,8
sj,2009,20,11
sj,2009,21,9
sj,2009,22,9
sj,2009,23,9
sj,2009,24,7
sj,2009,25,5
sj,2009,26,12
sj,2009,27,8
sj,2009,28,12
sj,2009,29,23
sj,2009,30,15
sj,2009,31,76
sj,2009,32,83
sj,2009,33,39
sj,2009,34,56
sj,2009,35,38
sj,2009,36,73
sj,2009,37,112
sj,2009,38,47
sj,2009,39,26
sj,2009,40,94
sj,2009,41,91
sj,2009,42,150
sj,2009,43,100
sj,2009,44,78
sj,2009,45,95
sj,2009,46,42
sj,2009,47,49
sj,2009,48,21
sj,2009,49,47
sj,2009,50,41
sj,2009,51,37
sj,2009,52,30
sj,2010,53,30
sj,2010,1,29
sj,2010,2,29
sj,2010,3,40
sj,2010,4,50
sj,2010,5,41
sj,2010,6,43
sj,2010,7,30
sj,2010,8,19
sj,2010,9,45
sj,2010,10,36
sj,2010,11,24
sj,2010,12,29
sj,2010,13,12
sj,2010,14,10
sj,2010,15,13
sj,2010,16,17
sj,2010,17,7
sj,2010,18,4
sj,2010,19,13
sj,2010,20,11
sj,2010,21,9
sj,2010,22,34
sj,2010,23,56
sj,2010,24,61
sj,2010,25,91
sj,2010,26,71
sj,2010,27,62
sj,2010,28,104
sj,2010,29,103
sj,2010,30,127
sj,2010,31,68
sj,2010,32,63
sj,2010,33,80
sj,2010,34,137
sj,2010,35,129
sj,2010,36,99
sj,2010,37,114
sj,2010,38,102
sj,2010,39,36
sj,2010,40,72
sj,2010,41,108
sj,2010,42,39
sj,2010,43,47
sj,2010,44,69
sj,2010,45,30
sj,2010,46,31
sj,2010,47,46
sj,2010,48,23
sj,2010,49,25
sj,2010,50,18
sj,2010,51,18
sj,2011,52,10
sj,2011,1,14
sj,2011,2,35
sj,2011,3,25
sj,2011,4,34
sj,2011,5,34
sj,2011,6,26
sj,2011,7,16
sj,2011,8,17
sj,2011,9,19
sj,2011,10,10
sj,2011,11,12
sj,2011,12,7
sj,2011,13,16
sj,2011,14,10
sj,2011,15,14
sj,2011,16,14
sj,2011,17,11
sj,2011,18,8
sj,2011,19,5
sj,2011,20,12
sj,2011,21,11
sj,2011,22,15
sj,2011,23,11
sj,2011,24,75
sj,2011,25,24
sj,2011,26,19
sj,2011,27,42
sj,2011,28,64
sj,2011,29,64
sj,2011,30,82
sj,2011,31,62
sj,2011,32,95
sj,2011,33,92
sj,2011,34,89
sj,2011,35,97
sj,2011,36,39
sj,2011,37,43
sj,2011,38,38
sj,2011,39,28
sj,2011,40,64
sj,2011,41,29
sj,2011,42,40
sj,2011,43,41
sj,2011,44,25
sj,2011,45,21
sj,2011,46,120
sj,2011,47,45
sj,2011,48,39
sj,2011,49,34
sj,2011,50,87
sj,2011,51,33
sj,2012,52,21
sj,2012,1,19
sj,2012,2,18
sj,2012,3,12
sj,2012,4,26
sj,2012,5,27
sj,2012,6,19
sj,2012,7,19
sj,2012,8,12
sj,2012,9,18
sj,2012,10,11
sj,2012,11,10
sj,2012,12,11
sj,2012,13,4
sj,2012,14,11
sj,2012,15,3
sj,2012,16,8
sj,2012,17,14
sj,2012,18,10
sj,2012,19,4
sj,2012,20,17
sj,2012,21,12
sj,2012,22,13
sj,2012,23,22
sj,2012,24,7
sj,2012,25,22
sj,2012,26,25
sj,2012,27,16
sj,2012,28,13
sj,2012,29,22
sj,2012,30,25
sj,2012,31,30
sj,2012,32,47
sj,2012,33,39
sj,2012,34,84
sj,2012,35,35
sj,2012,36,66
sj,2012,37,77
sj,2012,38,102
sj,2012,39,107
sj,2012,40,118
sj,2012,41,94
sj,2012,42,60
sj,2012,43,39
sj,2012,44,42
sj,2012,45,55
sj,2012,46,49
sj,2012,47,56
sj,2012,48,58
sj,2012,49,36
sj,2012,50,21
sj,2012,51,15
sj,2013,1,43
sj,2013,2,25
sj,2013,3,23
sj,2013,4,25
sj,2013,5,15
sj,2013,6,14
sj,2013,7,18
sj,2013,8,21
sj,2013,9,18
sj,2013,10,7
sj,2013,11,5
sj,2013,12,10
sj,2013,13,13
sj,2013,14,21
sj,2013,15,8
sj,2013,16,18
sj,2013,17,21
iq,2010,26,1
iq,2010,27,0
iq,2010,28,3
iq,2010,29,0
iq,2010,30,3
iq,2010,31,2
iq,2010,32,1
iq,2010,33,3
iq,2010,34,2
iq,2010,35,5
iq,2010,36,9
iq,2010,37,2
iq,2010,38,10
iq,2010,39,8
iq,2010,40,8
iq,2010,41,11
iq,2010,42,10
iq,2010,43,8
iq,2010,44,8
iq,2010,45,3
iq,2010,46,21
iq,2010,47,30
iq,2010,48,5
iq,2010,49,10
iq,2010,50,4
iq,2010,51,7
iq,2011,52,14
iq,2011,1,20
iq,2011,2,13
iq,2011,3,14
iq,2011,4,12
iq,2011,5,11
iq,2011,6,9
iq,2011,7,16
iq,2011,8,26
iq,2011,9,14
iq,2011,10,14
iq,2011,11,7
iq,2011,12,9
iq,2011,13,2
iq,2011,14,8
iq,2011,15,5
iq,2011,16,6
iq,2011,17,7
iq,2011,18,4
iq,2011,19,6
iq,2011,20,3
iq,2011,21,6
iq,2011,22,2
iq,2011,23,1
iq,2011,24,2
iq,2011,25,1
iq,2011,26,5
iq,2011,27,4
iq,2011,28,5
iq,2011,29,5
iq,2011,30,2
iq,2011,31,2
iq,2011,32,2
iq,2011,33,0
iq,2011,34,1
iq,2011,35,1
iq,2011,36,3
iq,2011,37,2
iq,2011,38,1
iq,2011,39,0
iq,2011,40,2
iq,2011,41,1
iq,2011,42,6
iq,2011,43,9
iq,2011,44,4
iq,2011,45,3
iq,2011,46,10
iq,2011,47,18
iq,2011,48,9
iq,2011,49,6
iq,2011,50,9
iq,2011,51,21
iq,2012,52,13
iq,2012,1,9
iq,2012,2,16
iq,2012,3,19
iq,2012,4,15
iq,2012,5,14
iq,2012,6,13
iq,2012,7,25
iq,2012,8,17
iq,2012,9,10
iq,2012,10,7
iq,2012,11,1
iq,2012,12,3
iq,2012,13,7
iq,2012,14,1
iq,2012,15,2
iq,2012,16,2
iq,2012,17,4
iq,2012,18,7
iq,2012,19,4
iq,2012,20,10
iq,2012,21,2
iq,2012,22,5
iq,2012,23,5
iq,2012,24,3
iq,2012,25,1
iq,2012,26,0
iq,2012,27,5
iq,2012,28,2
iq,2012,29,1
iq,2012,30,3
iq,2012,31,4
iq,2012,32,4
iq,2012,33,3
iq,2012,34,2
iq,2012,35,2
iq,2012,36,3
iq,2012,37,1
iq,2012,38,0
iq,2012,39,3
iq,2012,40,17
iq,2012,41,7
iq,2012,42,11
iq,2012,43,32
iq,2012,44,4
iq,2012,45,0
iq,2012,46,3
iq,2012,47,5
iq,2012,48,11
iq,2012,49,42
iq,2012,50,4
iq,2012,51,7
iq,2013,1,6
iq,2013,2,14
iq,2013,3,10
iq,2013,4,16
iq,2013,5,15
iq,2013,6,14
iq,2013,7,7
iq,2013,8,3
iq,2013,9,10
iq,2013,10,7
iq,2013,11,4
iq,2013,12,4
iq,2013,13,10
iq,2013,14,11
iq,2013,15,7
iq,2013,16,4
iq,2013,17,6
iq,2013,18,2
iq,2013,19,5
iq,2013,20,2
iq,2013,21,4
iq,2013,22,5
iq,2013,23,1
iq,2013,24,1
iq,2013,25,2
iq,2013,26,3
